證券代碼	年月日	當日均價(元)	當日成交量
006208 富邦台50	20190703	46.634	431.492
006208 富邦台50	20190704	46.6978	128.02
0050 元大台灣50	20190704	82.0062	5777.56
0050 元大台灣50	20190705	81.9847	1612.93
006208 富邦台50	20190705	46.6894	229.572
006208 富邦台50	20190708	46.6554	530.815
0050 元大台灣50	20190708	81.7572	3859.06
006208 富邦台50	20190709	46.5364	287.975
0050 元大台灣50	20190709	81.5603	4083.16
006208 富邦台50	20190710	46.7446	230.663
0050 元大台灣50	20190710	82.0749	4427.73
0050 元大台灣50	20190711	82.8732	10379.8
006208 富邦台50	20190711	47.2705	236.138
006208 富邦台50	20190712	47.3918	341.483
0050 元大台灣50	20190712	82.843	2972.51
0050 元大台灣50	20190715	83.0682	9336.04
006208 富邦台50	20190715	47.3356	227.618
0050 元大台灣50	20190716	83.3778	5503.24
006208 富邦台50	20190716	47.7287	356.017
0050 元大台灣50	20190717	82.9529	10598.5
006208 富邦台50	20190717	47.457	428.983
006208 富邦台50	20190718	46.7504	306.746
0050 元大台灣50	20190718	82.8015	7541.03
0050 元大台灣50	20190719	83.2365	9780.92
006208 富邦台50	20190719	47.1782	121.297
0050 元大台灣50	20190722	83.4151	8368.54
006208 富邦台50	20190722	47.3256	151.832
0050 元大台灣50	20190723	83.6884	5899.12
006208 富邦台50	20190723	47.4514	143.138
0050 元大台灣50	20190724	83.7099	3364.34
006208 富邦台50	20190724	47.4482	77.246
006208 富邦台50	20190725	47.4353	111.538
0050 元大台灣50	20190725	83.6778	4931.66
0050 元大台灣50	20190726	83.3351	3129.69
006208 富邦台50	20190726	47.3869	225.717
006208 富邦台50	20190729	47.2623	106.14
0050 元大台灣50	20190729	83.2693	3042.25
0050 元大台灣50	20190730	83.4116	2083.37
006208 富邦台50	20190730	47.3294	93.634
006208 富邦台50	20190731	47.0061	137.32
0050 元大台灣50	20190731	82.7313	3119.26
006208 富邦台50	20190801	46.8305	256.628
0050 元大台灣50	20190801	82.2651	5042.94
006208 富邦台50	20190802	46.0228	695.145
0050 元大台灣50	20190802	80.8814	16846.4
0050 元大台灣50	20190805	80.2326	20659.5
006208 富邦台50	20190805	45.7385	549.979
0050 元大台灣50	20190806	79.0394	24901.8
006208 富邦台50	20190806	45.4313	702.595
0050 元大台灣50	20190807	79.8309	16856
006208 富邦台50	20190807	45.4642	335.614
006208 富邦台50	20190808	45.6599	142.767
0050 元大台灣50	20190808	80.5304	5036.12
0050 元大台灣50	20190812	80.6295	3168.03
006208 富邦台50	20190812	45.7522	180.084
006208 富邦台50	20190813	45.3346	282.624
0050 元大台灣50	20190813	79.8125	7431.52
006208 富邦台50	20190814	45.7501	140.082
0050 元大台灣50	20190814	80.6235	7382.14
0050 元大台灣50	20190815	79.3398	15972.1
006208 富邦台50	20190815	45.0063	399.926
006208 富邦台50	20190816	45.2892	392.672
0050 元大台灣50	20190816	79.8885	6158.75
006208 富邦台50	20190819	45.7282	101.751
0050 元大台灣50	20190819	80.6234	6475.35
006208 富邦台50	20190820	45.838	199.064
0050 元大台灣50	20190820	80.9509	4179.2
0050 元大台灣50	20190821	81.0442	6092.9
006208 富邦台50	20190821	45.9274	110.512
